timestamp,cpu_percent,mem_pss_kb
2026-02-06 17:47:23,61.10,331164
2026-02-06 17:47:25,50.00,332812
2026-02-06 17:47:32,81.20,365408
2026-02-06 17:47:36,69.60,346872
2026-02-06 17:47:40,13.30,335284
2026-02-06 17:47:41,6.60,335648
2026-02-06 17:47:45,0.00,334692
2026-02-06 17:47:47,20.00,334952
2026-02-06 17:47:48,3.40,335212
2026-02-06 17:47:50,10.00,335464
2026-02-06 17:47:52,6.60,335724
2026-02-06 17:47:54,10.30,335980
2026-02-06 17:47:55,6.60,335980
2026-02-06 17:48:01,36.60,347924
2026-02-06 17:48:03,33.30,348080
2026-02-06 17:48:06,10.00,313152
2026-02-06 17:48:08,0.00,313172
2026-02-06 17:48:10,0.00,307304
2026-02-06 17:48:12,0.00,307304
2026-02-06 17:48:13,6.60,307568
2026-02-06 17:48:15,3.30,308088
2026-02-06 17:48:17,50.00,303768
2026-02-06 17:48:19,0.00,303400
2026-02-06 17:48:22,10.00,303912
2026-02-06 17:48:24,86.60,319292
2026-02-06 17:48:26,26.60,318768
2026-02-06 17:48:28,36.60,318916
2026-02-06 17:48:31,13.30,291820
2026-02-06 17:48:33,6.60,292072
2026-02-06 17:48:35,6.60,292544
2026-02-06 17:48:37,0.00,292800
2026-02-06 17:48:38,16.60,293064
2026-02-06 17:48:40,16.60,293316
2026-02-06 17:48:42,6.60,293576
2026-02-06 17:48:46,6.60,294096
2026-02-06 17:48:47,13.30,294096
2026-02-06 17:48:49,43.30,294368
2026-02-06 17:48:51,10.00,294876
2026-02-06 17:48:53,51.60,309280
2026-02-06 17:48:55,26.60,309788
2026-02-06 17:48:57,80.00,320184
2026-02-06 17:48:59,0.00,319732
2026-02-06 17:49:00,0.00,319732
2026-02-06 17:49:02,0.00,320260
2026-02-06 17:49:04,0.00,320260
2026-02-06 17:49:06,13.30,320516
2026-02-06 17:49:08,6.60,321036
2026-02-06 17:49:10,65.50,294576
2026-02-06 17:49:11,0.00,294568
2026-02-06 17:49:13,3.30,295092
2026-02-06 17:49:15,0.00,295248
2026-02-06 17:49:17,35.40,295508
2026-02-06 17:49:19,0.00,295768
2026-02-06 17:49:21,43.70,310588
2026-02-06 17:49:27,0.00,313740
2026-02-06 17:49:28,6.60,314480
2026-02-06 17:49:30,0.00,314520
2026-02-06 17:49:32,13.30,314728
2026-02-06 17:49:34,30.00,315248
2026-02-06 17:49:36,40.00,311016
2026-02-06 17:49:38,54.80,311264
2026-02-06 17:49:40,3.30,311524
2026-02-06 17:49:41,3.30,311524
2026-02-06 17:49:43,0.00,311784
2026-02-06 17:49:45,36.60,331640
2026-02-06 17:49:47,20.00,332188
2026-02-06 17:49:49,23.30,296368
2026-02-06 17:49:51,0.00,296368
2026-02-06 17:49:52,16.60,296628
2026-02-06 17:49:54,36.60,297088
2026-02-06 17:49:56,0.00,297088
2026-02-06 17:49:58,0.00,297088
2026-02-06 17:50:00,0.00,297608
2026-02-06 17:50:01,6.40,297608
2026-02-06 17:50:03,20.00,297600
2026-02-06 17:50:05,0.00,297856
2026-02-06 17:50:07,0.00,297856
2026-02-06 17:50:09,3.30,313276
2026-02-06 17:50:11,10.00,313276
2026-02-06 17:50:12,0.00,313532
2026-02-06 17:50:14,36.60,313792
2026-02-06 17:50:16,0.00,314040
2026-02-06 17:50:18,56.60,317312
2026-02-06 17:50:20,0.00,320892
2026-02-06 17:50:22,20.00,321412
2026-02-06 17:50:24,16.60,321756
2026-02-06 17:50:25,20.00,322316
2026-02-06 17:50:27,43.30,323084
2026-02-06 17:50:29,28.10,301336
2026-02-06 17:50:31,18.70,302136
2026-02-06 17:50:33,40.00,304460
2026-02-06 17:50:35,40.00,304748
2026-02-06 17:50:37,23.30,305272
2026-02-06 17:50:39,36.60,306064
2026-02-06 17:50:40,23.30,306336
2026-02-06 17:50:42,26.60,306856
2026-02-06 17:50:44,33.30,307384
2026-02-06 17:50:46,22.50,307908
2026-02-06 17:50:48,50.00,303612
2026-02-06 17:50:50,33.30,303872
2026-02-06 17:50:52,21.80,304388
2026-02-06 17:50:57,26.60,304872
2026-02-06 17:50:59,36.60,305380
2026-02-06 17:51:01,40.00,305624
2026-02-06 17:51:03,32.20,306152
2026-02-06 17:51:05,40.00,306940
2026-02-06 17:51:07,36.60,302416
2026-02-06 17:51:09,23.30,302940
2026-02-06 17:51:12,40.00,304212
2026-02-06 17:51:16,36.60,305000
2026-02-06 17:51:18,36.60,305256
2026-02-06 17:51:20,23.30,305520
2026-02-06 17:51:22,0.00,305780
2026-02-06 17:51:24,0.00,306060
2026-02-06 17:51:26,40.00,306052
2026-02-06 17:51:28,6.60,306312
2026-02-06 17:51:30,88.50,318828
2026-02-06 17:51:32,96.60,319636
2026-02-06 17:51:35,70.50,322208
2026-02-06 17:51:37,0.00,322280
2026-02-06 17:51:39,6.60,321848
2026-02-06 17:51:41,3.30,315352
2026-02-06 17:51:43,0.00,315892
2026-02-06 17:51:45,10.00,317152
2026-02-06 17:51:47,6.60,317400
2026-02-06 17:51:49,54.80,319348
2026-02-06 17:51:51,3.30,327380
2026-02-06 17:51:53,6.60,325920
2026-02-06 17:51:54,13.30,326168
2026-02-06 17:51:56,16.10,326416
2026-02-06 17:51:58,0.00,326416
2026-02-06 17:52:00,3.30,326668
2026-02-06 17:52:02,60.00,328436
2026-02-06 17:52:04,33.30,336244
2026-02-06 17:52:06,0.00,336244
2026-02-06 17:52:08,0.00,336492
2026-02-06 17:52:10,0.00,336900
2026-02-06 17:52:12,0.00,337164
2026-02-06 17:52:16,58.00,335888
2026-02-06 17:52:18,0.00,336344
2026-02-06 17:52:19,10.00,336580
2026-02-06 17:52:21,0.00,336844
2026-02-06 17:52:23,58.00,337520
2026-02-06 17:52:27,3.30,338244
2026-02-06 17:52:29,0.00,338216
2026-02-06 17:52:31,63.30,339116
2026-02-06 17:52:33,0.00,339432
2026-02-06 17:52:35,3.40,339672
2026-02-06 17:52:37,3.40,340052
2026-02-06 17:52:39,0.00,340044
2026-02-06 17:52:41,0.00,340288
2026-02-06 17:52:43,20.00,340528
2026-02-06 17:52:45,60.00,343792
2026-02-06 17:52:47,87.80,348372
2026-02-06 17:52:49,103.00,351064
2026-02-06 17:52:51,96.60,352464
2026-02-06 17:52:53,93.30,353692
2026-02-06 17:52:55,100.00,355004
2026-02-06 17:53:01,66.60,375188
2026-02-06 17:53:03,70.20,376736
2026-02-06 17:53:05,44.40,377680
2026-02-06 17:53:07,72.20,371260
2026-02-06 17:53:09,58.90,372568
2026-02-06 17:53:11,90.60,373912
2026-02-06 17:53:13,74.10,375528
2026-02-06 17:53:15,69.60,375560
2026-02-06 17:53:20,0.00,403408
2026-02-06 17:53:21,0.00,403412
2026-02-06 17:53:23,10.00,403312
2026-02-06 17:53:29,9.60,412428
2026-02-06 17:53:31,0.00,412600
2026-02-06 17:53:33,6.60,412600
2026-02-06 17:53:35,0.00,412600
2026-02-06 17:53:37,0.00,412836
2026-02-06 17:53:40,0.00,409304
2026-02-06 17:53:42,0.00,409304
2026-02-06 17:53:44,20.00,409556
2026-02-06 17:53:46,3.30,413392
2026-02-06 17:53:50,10.00,361612
2026-02-06 17:53:52,33.30,358876
2026-02-06 17:53:54,0.00,358840
2026-02-06 17:53:56,134.00,388948
2026-02-06 17:54:00,128.00,393276
2026-02-06 17:54:02,140.00,395728
2026-02-06 17:54:04,141.00,395504
2026-02-06 17:54:08,70.00,389836
2026-02-06 17:54:09,80.60,390892
2026-02-06 17:54:12,69.40,373156
2026-02-06 17:54:14,80.60,374656
2026-02-06 17:54:16,80.60,376636
2026-02-06 17:54:18,75.70,378168
2026-02-06 17:54:20,80.00,379496
2026-02-06 17:54:22,75.70,383488
2026-02-06 17:54:24,75.70,384536
2026-02-06 17:54:26,72.70,385284
2026-02-06 17:54:30,75.60,387264
2026-02-06 17:54:33,80.00,389264
2026-02-06 17:54:35,87.00,390056
2026-02-06 17:54:37,77.40,391200
2026-02-06 17:54:41,64.50,394348
2026-02-06 17:54:43,86.60,395240
2026-02-06 17:54:45,83.30,395876
2026-02-06 17:54:47,82.30,397068
2026-02-06 17:54:49,55.50,378880
2026-02-06 17:54:51,69.60,380092
2026-02-06 17:54:57,126.00,408060
2026-02-06 17:54:59,113.00,395912
2026-02-06 17:55:01,137.00,396868
2026-02-06 17:55:04,6.40,426704
2026-02-06 17:55:06,0.00,426704
2026-02-06 17:55:08,3.40,427496
2026-02-06 17:55:10,0.00,425816
2026-02-06 17:55:12,0.00,425996
2026-02-06 17:55:15,53.30,392696
2026-02-06 17:55:17,29.00,392900
2026-02-06 17:55:19,3.30,392900
2026-02-06 17:55:21,0.00,393104
2026-02-06 17:55:25,51.50,412472
2026-02-06 17:55:27,20.00,395476
2026-02-06 17:55:29,0.00,397480
2026-02-06 17:55:31,6.60,397480
2026-02-06 17:55:33,6.60,398316
2026-02-06 17:55:35,0.00,398316
2026-02-06 17:55:38,13.30,398564
2026-02-06 17:55:40,43.30,398608
2026-02-06 17:55:42,16.10,399028
2026-02-06 17:55:44,10.00,399120
2026-02-06 17:55:46,0.00,399248
2026-02-06 17:55:50,3.30,417980
2026-02-06 17:55:52,0.00,417980
2026-02-06 17:55:54,6.60,418208
2026-02-06 17:55:56,0.00,418376
2026-02-06 17:56:01,50.00,427100
2026-02-06 17:56:03,22.90,428236
2026-02-06 17:56:05,3.30,420692
2026-02-06 17:56:07,37.50,377392
2026-02-06 17:56:09,0.00,377972
2026-02-06 17:56:13,6.60,375788
2026-02-06 17:56:15,82.30,402244
2026-02-06 17:56:17,87.80,409768
2026-02-06 17:56:19,106.00,348220
2026-02-06 17:56:21,87.00,349408
2026-02-06 17:56:23,74.10,351132
2026-02-06 17:56:25,83.30,353852
2026-02-06 17:56:29,78.70,355708
2026-02-06 17:56:31,78.10,356644
2026-02-06 17:56:35,115.00,375124
2026-02-06 17:56:37,71.40,378496
2026-02-06 17:56:39,66.60,380596
2026-02-06 17:56:41,96.70,376896
2026-02-06 17:56:43,96.60,378176
2026-02-06 17:56:45,83.30,384364
2026-02-06 17:56:47,0.00,384364
2026-02-06 17:56:49,36.60,371612
2026-02-06 17:56:51,6.60,371584
2026-02-06 17:56:54,6.60,371584
2026-02-06 17:56:56,3.30,371816
2026-02-06 17:56:58,20.00,372056
2026-02-06 17:57:01,6.60,372256
2026-02-06 17:57:03,3.30,372256
2026-02-06 17:57:05,40.00,372444
2026-02-06 17:57:09,46.60,382996
2026-02-06 17:57:12,50.00,369212
2026-02-06 17:57:14,10.00,369460
2026-02-06 17:57:16,13.30,369384
2026-02-06 17:57:18,0.00,369168
2026-02-06 17:57:20,10.00,369168
2026-02-06 17:57:22,26.60,369424
2026-02-06 17:57:24,43.30,358044
2026-02-06 17:57:26,0.00,356480
2026-02-06 17:57:28,10.00,356720
2026-02-06 17:57:29,0.00,356720
2026-02-06 17:57:33,0.00,375580
2026-02-06 17:57:35,0.00,375580
2026-02-06 17:57:37,26.40,375924
2026-02-06 17:57:39,6.60,375924
2026-02-06 17:57:41,51.60,381900
2026-02-06 17:57:43,63.30,384912
2026-02-06 17:57:45,61.20,388488
2026-02-06 17:57:47,0.00,382048
2026-02-06 17:57:49,50.00,384308
2026-02-06 17:57:52,0.00,385612
2026-02-06 17:57:54,20.00,386376
2026-02-06 17:57:56,13.30,386376
2026-02-06 17:57:58,127.00,331712
2026-02-06 17:58:01,136.00,333936
2026-02-06 17:58:03,131.00,334756
2026-02-06 17:58:07,146.00,336940
2026-02-06 17:58:11,80.60,341420
2026-02-06 17:58:13,84.30,342512
2026-02-06 17:58:21,75.00,349016
2026-02-06 17:58:23,90.60,350096
2026-02-06 17:58:33,121.00,364320
2026-02-06 17:58:35,133.00,366344
2026-02-06 17:58:37,103.00,367964
2026-02-06 17:58:39,6.60,368196
2026-02-06 17:58:41,6.60,368144
2026-02-06 17:58:43,16.60,366860
2026-02-06 17:58:45,10.00,366860
2026-02-06 17:58:49,40.00,367128
2026-02-06 17:58:51,35.40,367128
2026-02-06 17:58:53,3.30,367368
2026-02-06 17:58:55,0.00,368304
2026-02-06 17:58:57,0.00,368616
2026-02-06 17:58:59,0.00,368616
2026-02-06 17:59:01,23.30,369064
2026-02-06 17:59:03,16.60,369328
2026-02-06 17:59:05,0.00,369328
2026-02-06 17:59:07,9.60,369572
2026-02-06 17:59:09,6.60,369808
2026-02-06 17:59:11,0.00,369808
2026-02-06 17:59:13,6.60,369808
2026-02-06 17:59:15,50.00,387252
2026-02-06 17:59:17,13.30,351796
2026-02-06 17:59:19,0.00,370188
2026-02-06 17:59:21,0.00,370428
2026-02-06 17:59:23,9.60,370476
2026-02-06 17:59:25,0.00,370476
2026-02-06 17:59:27,16.60,370696
